symbol,theme_id,theme_label,theme_family,membership_type,assignment_order,fit_score,corr_with_theme_moves,med_abs_resid,fit_overlap_months,sector_mode,industry_mode,primary_theme_id
ABCAPITAL,IND::Holding Companies,Holding Companies,Holding Companies,primary,1,1.0,,,,Financial Services,Holding Companies,IND::Holding Companies
ABCAPITAL,IND::Banks::B::B,Banks · Group 1,Banks,secondary,2,0.1798,0.3093,0.1225,50.0,Financial Services,Holding Companies,IND::Holding Companies
ABDL,IND::Breweries & Distilleries,Breweries & Distilleries,Breweries & Distilleries,primary,1,1.0,,,,,,IND::Breweries & Distilleries
ABFRL,IND::Department Stores,Department Stores,Department Stores,primary,1,1.0,,,,Consumer Cyclical,Department Stores,IND::Department Stores
ABLBL,UNCLASSIFIED::B::B::A::B::B,Cross-sector · Group 3,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::B::B
ABREL,IND::Realty::B,Realty · Group 1,Realty,primary,1,1.0,,,,,,IND::Realty::B
ABSLAMC,IND::Asset Management Cos.,Asset Management Cos.,Asset Management Cos.,primary,1,1.0,,,,Financial Services,Asset Management Cos.,IND::Asset Management Cos.
ABSLAMC,IND::Finance (including NBFCs)::A,Finance (including Nbfcs) · Group 3,Finance (including Nbfcs),secondary,2,0.2108,0.3857,0.1975,50.0,Financial Services,Asset Management Cos.,IND::Asset Management Cos.
ACC,IND::Cement & Cement Products,Cement & Cement Products,Cement & Cement Products,primary,1,1.0,,,,Basic Materials,Cement & Cement Products,IND::Cement & Cement Products
ACI,IND::Commodity Chemicals,Commodity Chemicals,Commodity Chemicals,primary,1,1.0,,,,Basic Materials,Commodity Chemicals,IND::Commodity Chemicals
ACMESOLAR,UNCLASSIFIED::B::B::B::B,Cross-sector · Group 7,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::B::B
ACUTAAS,THEME::Cdmo,CDMO,CDMO,primary,1,1.0,,,,,,THEME::Cdmo
ADANIENSOL,IND::Electric Utilities::A,Electric Utilities · Group 1,Electric Utilities,primary,1,1.0,,,,Utilities,Electric Utilities,IND::Electric Utilities::A
ADANIENT,IND::IT Consulting & Software::B::A,IT Consulting & Software · Group 5,IT Consulting & Software,primary,1,1.0,,,,Energy,Commodity Trading & Distribution,IND::IT Consulting & Software::B::A
ADANIGREEN,IND::Electric Utilities::A,Electric Utilities · Group 1,Electric Utilities,primary,1,1.0,,,,Utilities,Electric Utilities,IND::Electric Utilities::A
ADANIPORTS,IND::Marine Port & Services,Marine Port & Services,Marine Port & Services,primary,1,1.0,,,,Industrials,Marine Port & Services,IND::Marine Port & Services
ADANIPOWER,IND::Electric Utilities::A,Electric Utilities · Group 1,Electric Utilities,primary,1,1.0,,,,Utilities,Electric Utilities,IND::Electric Utilities::A
ADVENZYMES,IND::Biotechnology,Biotechnology,Biotechnology,primary,1,1.0,,,,Basic Materials,Biotechnology,IND::Biotechnology
AEGISLOG,IND::Oil Marketing & Distribution,Oil Marketing & Distribution,Oil Marketing & Distribution,primary,1,1.0,,,,Energy,Oil Marketing & Distribution,IND::Oil Marketing & Distribution
AEGISVOPAK,UNCLASSIFIED::B::B::A::A::A,Cross-sector · Group 8,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::A::A
AEQUS,UNCLASSIFIED::B::A::B::NoRank::1,Cross-sector (no Rank) · Group 1,Cross-sector (no Rank),primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B::NoRank::1
AETHER,IND::Specialty Chemicals::A,Specialty Chemicals · Group 1,Specialty Chemicals,primary,1,1.0,,,,Basic Materials,Specialty Chemicals,IND::Specialty Chemicals::A
AFCONS,UNCLASSIFIED::A::A,Cross-sector · Group 2,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::A::A
AFCONS,UNCLASSIFIED::B::A::B,Cross-sector · Group 1,Cross-sector,secondary,2,0.3991,0.6055,0.0825,14.0,,,UNCLASSIFIED::A::A
AFFLE,IND::Internet Software & Services,Internet Software & Services,Internet Software & Services,primary,1,1.0,,,,Communication Services,Internet Software & Services,IND::Internet Software & Services
AGARWALEYE,UNCLASSIFIED::A::A,Cross-sector · Group 2,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::A::A
AGI,IND::Furniture-Furnishing-Paints,Furniture-furnishing-paints,Furniture-furnishing-paints,primary,1,1.0,,,,Consumer Cyclical,Furniture-Furnishing-Paints,IND::Furniture-Furnishing-Paints
AHLUCONT,IND::Construction & Engineering,Construction & Engineering,Construction & Engineering,primary,1,1.0,,,,Industrials,Construction & Engineering,IND::Construction & Engineering
AHLUCONT,IND::Electric Utilities::B,Electric Utilities · Group 2,Electric Utilities,secondary,2,0.1722,0.3146,0.16,50.0,Industrials,Construction & Engineering,IND::Construction & Engineering
AIAENG,IND::Other Industrial Goods,Other Industrial Goods,Other Industrial Goods,primary,1,1.0,,,,Industrials,Other Industrial Goods,IND::Other Industrial Goods
AIIL,UNCLASSIFIED::A::A,Cross-sector · Group 2,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::A::A
AJANTPHARM,IND::Pharmaceuticals::B::A::B::B,Pharmaceuticals · Group 2,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::B
AJANTPHARM,IND::Healthcare Services,Healthcare Services,Healthcare Services,secondary,2,0.2079,0.3688,0.1675,50.0,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::B
AJAXENGG,UNCLASSIFIED::B::B::B::B,Cross-sector · Group 7,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::B::B
AJAXENGG,UNCLASSIFIED::B::B::B::A,Cross-sector · Group 6,Cross-sector,secondary,2,0.1883,0.3204,0.12,9.0,,,UNCLASSIFIED::B::B::B::B
AJAXENGG,UNCLASSIFIED::B::A::A,Cross-sector · Group 10,Cross-sector,secondary,3,0.1717,0.3074,0.145,9.0,,,UNCLASSIFIED::B::B::B::B
AKUMS,UNCLASSIFIED::B::B::B::A,Cross-sector · Group 6,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::B::A
AKZOINDIA,IND::Furniture-Furnishing-Paints,Furniture-furnishing-paints,Furniture-furnishing-paints,primary,1,1.0,,,,Basic Materials,Furniture-Furnishing-Paints,IND::Furniture-Furnishing-Paints
AKZOINDIA,IND::Agrochemicals,Agrochemicals,Agrochemicals,secondary,2,0.256,0.4289,0.1475,50.0,Basic Materials,Furniture-Furnishing-Paints,IND::Furniture-Furnishing-Paints
ALIVUS,UNCLASSIFIED::B::B::B::B,Cross-sector · Group 7,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::B::B
ALKEM,IND::Pharmaceuticals::B::A::B::B,Pharmaceuticals · Group 2,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::B
AMAGI,UNCLASSIFIED::B::A::B::NoRank::2,Cross-sector (no Rank) · Group 2,Cross-sector (no Rank),primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B::NoRank::2
AMBER,IND::Consumer Electronics,Consumer Electronics,Consumer Electronics,primary,1,1.0,,,,Consumer Cyclical,Consumer Electronics,IND::Consumer Electronics
AMBER,IND::Gems & Jewellery,Gems & Jewellery,Gems & Jewellery,secondary,2,0.1751,0.3348,0.1975,50.0,Consumer Cyclical,Consumer Electronics,IND::Consumer Electronics
AMBUJACEM,IND::Cement & Cement Products,Cement & Cement Products,Cement & Cement Products,primary,1,1.0,,,,Basic Materials,Cement & Cement Products,IND::Cement & Cement Products
AMRUTANJAN,IND::Pharmaceuticals::A,Pharmaceuticals · Group 5,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::A
AMRUTANJAN,IND::Biotechnology,Biotechnology,Biotechnology,secondary,2,0.217,0.3711,0.1425,50.0,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::A
ANANDRATHI,IND::Other Financial Services,Other Financial Services,Other Financial Services,primary,1,1.0,,,,Financial Services,Other Financial Services,IND::Other Financial Services
ANANTRAJ,IND::Realty::B,Realty · Group 1,Realty,primary,1,1.0,,,,Real Estate,Realty,IND::Realty::B
ANGELONE,IND::IT Consulting & Software::B::B::A::B,IT Consulting & Software · Group 1,IT Consulting & Software,primary,1,1.0,,,,Financial Services,Capital Markets,IND::IT Consulting & Software::B::B::A::B
ANTHEM,UNCLASSIFIED::B::B::A::B::B,Cross-sector · Group 3,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::B::B
ANUP,IND::Pharmaceuticals::B::B,Pharmaceuticals · Group 1,Pharmaceuticals,primary,1,1.0,,,,,,IND::Pharmaceuticals::B::B
ANURAS,IND::Agrochemicals,Agrochemicals,Agrochemicals,primary,1,1.0,,,,Basic Materials,Agrochemicals,IND::Agrochemicals
APARINDS,IND::Other Electrical Equipment/Products::A,Other Electrical Equipment / Products · Group 2,Other Electrical Equipment / Products,primary,1,1.0,,,,Industrials,Other Electrical Equipment/Products,IND::Other Electrical Equipment/Products::A
APLAPOLLO,IND::Iron & Steel Products,Iron & Steel Products,Iron & Steel Products,primary,1,1.0,,,,Basic Materials,Iron & Steel Products,IND::Iron & Steel Products
APLAPOLLO,IND::Iron & Steel/Interm.Products,Iron & Steel / Interm.products,Iron & Steel / Interm.products,secondary,2,0.2909,0.5013,0.2,50.0,Basic Materials,Iron & Steel Products,IND::Iron & Steel Products
APLLTD,IND::Pharmaceuticals::B::A::A,Pharmaceuticals · Group 4,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::A
APOLLOHOSP,IND::Healthcare Facilities,Healthcare Facilities,Healthcare Facilities,primary,1,1.0,,,,Healthcare,Healthcare Facilities,IND::Healthcare Facilities
APOLLOTYRE,IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,primary,1,1.0,,,,Consumer Cyclical,Auto Tyres & Rubber Products,IND::Auto Tyres & Rubber Products
APOLLOTYRE,IND::Hotels,Hotels,Hotels,secondary,2,0.1908,0.3305,0.135,50.0,Consumer Cyclical,Auto Tyres & Rubber Products,IND::Auto Tyres & Rubber Products
APTUS,IND::Housing Finance,Housing Finance,Housing Finance,primary,1,1.0,,,,Financial Services,Housing Finance,IND::Housing Finance
ARE&M,IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment · Group 3,Auto Parts & Equipment,primary,1,1.0,,,,Industrials,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::B::B
ARE&M,IND::Shipping,Shipping,Shipping,secondary,2,0.1824,0.3206,0.14,39.0,Industrials,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::B::B
ARTEMISMED,IND::Healthcare Facilities,Healthcare Facilities,Healthcare Facilities,primary,1,1.0,,,,Healthcare,Healthcare Facilities,IND::Healthcare Facilities
ARTEMISMED,IND::Pharmaceuticals::B::A::B::B,Pharmaceuticals · Group 2,Pharmaceuticals,secondary,2,0.259,0.4235,0.125,42.0,Healthcare,Healthcare Facilities,IND::Healthcare Facilities
ARVIND,IND::Textiles,Textiles,Textiles,primary,1,1.0,,,,Consumer Cyclical,Textiles,IND::Textiles
ARVINDFASN,IND::Other Apparels & Accessories,Other Apparels & Accessories,Other Apparels & Accessories,primary,1,1.0,,,,Consumer Cyclical,Other Apparels & Accessories,IND::Other Apparels & Accessories
ARVINDFASN,IND::Specialty Retail,Specialty Retail,Specialty Retail,secondary,2,0.222,0.3717,0.1275,50.0,Consumer Cyclical,Other Apparels & Accessories,IND::Other Apparels & Accessories
ARVINDFASN,IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment · Group 2,Auto Parts & Equipment,secondary,3,0.1646,0.308,0.17,50.0,Consumer Cyclical,Other Apparels & Accessories,IND::Other Apparels & Accessories
ARVSMART,IND::Realty::A,Realty · Group 2,Realty,primary,1,1.0,,,,Real Estate,Realty,IND::Realty::A
ASAHIINDIA,IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment · Group 1,Auto Parts & Equipment,primary,1,1.0,,,,Consumer Cyclical,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::A
ASAHIINDIA,IND::Restaurants,Restaurants,Restaurants,secondary,2,0.2165,0.3885,0.185,50.0,Consumer Cyclical,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::A
ASHAPURMIN,UNCLASSIFIED::A::A,Cross-sector · Group 2,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::A::A
ASHAPURMIN,UNCLASSIFIED::B::B::A::B::B,Cross-sector · Group 3,Cross-sector,secondary,2,0.1934,0.3492,0.17,21.0,,,UNCLASSIFIED::A::A
ASHOKA,IND::Roads & Highways,Roads & Highways,Roads & Highways,primary,1,1.0,,,,Industrials,Roads & Highways,IND::Roads & Highways
ASHOKA,IND::Heavy Electrical Equipment::A,Heavy Electrical Equipment · Group 1,Heavy Electrical Equipment,secondary,2,0.213,0.3739,0.1625,50.0,Industrials,Roads & Highways,IND::Roads & Highways
ASHOKLEY,IND::Commercial Vehicles,Commercial Vehicles,Commercial Vehicles,primary,1,1.0,,,,Industrials,Commercial Vehicles,IND::Commercial Vehicles
ASHOKLEY,IND::Other Industrial Products,Other Industrial Products,Other Industrial Products,secondary,2,0.3129,0.5113,0.15,50.0,Industrials,Commercial Vehicles,IND::Commercial Vehicles
ASIANPAINT,IND::Furniture-Furnishing-Paints,Furniture-furnishing-paints,Furniture-furnishing-paints,primary,1,1.0,,,,Basic Materials,Furniture-Furnishing-Paints,IND::Furniture-Furnishing-Paints
ASTERDM,IND::Healthcare Facilities,Healthcare Facilities,Healthcare Facilities,primary,1,1.0,,,,Healthcare,Healthcare Facilities,IND::Healthcare Facilities
ASTRAL,IND::Plastic Products,Plastic Products,Plastic Products,primary,1,1.0,,,,Industrials,Plastic Products,IND::Plastic Products
ASTRAMICRO,IND::Defence,Defence,Defence,primary,1,1.0,,,,Technology,Defence,IND::Defence
ASTRAZEN,IND::Pharmaceuticals::B::B,Pharmaceuticals · Group 1,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::B
ASTRAZEN,IND::Healthcare Facilities,Healthcare Facilities,Healthcare Facilities,secondary,2,0.1751,0.3016,0.12,50.0,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::B
ATHERENERG,UNCLASSIFIED::B::B::A::A::A,Cross-sector · Group 8,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::B::A::A::A
ATLANTAELE,UNCLASSIFIED::B::A::B::NoRank::3,Cross-sector (no Rank) · Group 3,Cross-sector (no Rank),primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B::NoRank::3
ATUL,IND::Specialty Chemicals::A,Specialty Chemicals · Group 1,Specialty Chemicals,primary,1,1.0,,,,Basic Materials,Specialty Chemicals,IND::Specialty Chemicals::A
ATUL,IND::Agrochemicals,Agrochemicals,Agrochemicals,secondary,2,0.3018,0.46,0.0675,50.0,Basic Materials,Specialty Chemicals,IND::Specialty Chemicals::A
AUBANK,IND::Banks::A,Banks · Group 2,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::A
AUBANK,IND::Finance (including NBFCs)::B::B,Finance (including Nbfcs) · Group 2,Finance (including Nbfcs),secondary,2,0.3303,0.5372,0.1525,50.0,Financial Services,Banks,IND::Banks::A
AUBANK,IND::Banks::B::A,Banks · Group 3,Banks,secondary,3,0.2508,0.4162,0.135,50.0,Financial Services,Banks,IND::Banks::A
AUROPHARMA,IND::Pharmaceuticals::B::A::B::B,Pharmaceuticals · Group 2,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::B
AUTOAXLES,IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment · Group 3,Auto Parts & Equipment,primary,1,1.0,,,,Consumer Cyclical,Auto Parts & Equipment,IND::Auto Parts & Equipment::B::B::B
AVALON,IND::Heavy Electrical Equipment::B,Heavy Electrical Equipment · Group 2,Heavy Electrical Equipment,primary,1,1.0,,,,Technology,Heavy Electrical Equipment,IND::Heavy Electrical Equipment::B
AVANTIFEED,IND::Other Food Products,Other Food Products,Other Food Products,primary,1,1.0,,,,Consumer Defensive,Other Food Products,IND::Other Food Products
AVL,IND::Specialty Retail,Specialty Retail,Specialty Retail,primary,1,1.0,,,,Consumer Cyclical,Specialty Retail,IND::Specialty Retail
AVL,IND::2/3 Wheelers,2 / 3 Wheelers,2 / 3 Wheelers,secondary,2,0.2235,0.3665,0.11,39.0,Consumer Cyclical,Specialty Retail,IND::Specialty Retail
AVL,IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,secondary,3,0.2212,0.4017,0.2,39.0,Consumer Cyclical,Specialty Retail,IND::Specialty Retail
AWFIS,IND::General Insurance,General Insurance,General Insurance,primary,1,1.0,,,,,,IND::General Insurance
AWL,UNCLASSIFIED::A::B,Cross-sector · Group 4,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::A::B
AXISBANK,IND::Banks::B::A,Banks · Group 3,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::B::A
AXISBANK,IND::Housing Finance,Housing Finance,Housing Finance,secondary,2,0.3283,0.5269,0.135,50.0,Financial Services,Banks,IND::Banks::B::A
AXISBANK,IND::Finance (including NBFCs)::B::B,Finance (including Nbfcs) · Group 2,Finance (including Nbfcs),secondary,3,0.2482,0.4017,0.11,50.0,Financial Services,Banks,IND::Banks::B::A
AZAD,IND::Industrial Machinery::B,Industrial Machinery · Group 2,Industrial Machinery,primary,1,1.0,,,,Industrials,Industrial Machinery,IND::Industrial Machinery::B
BAJAJ-AUTO,IND::2/3 Wheelers,2 / 3 Wheelers,2 / 3 Wheelers,primary,1,1.0,,,,Consumer Cyclical,2/3 Wheelers,IND::2/3 Wheelers
BAJAJ-AUTO,IND::Gems & Jewellery,Gems & Jewellery,Gems & Jewellery,secondary,2,0.1869,0.3346,0.1575,50.0,Consumer Cyclical,2/3 Wheelers,IND::2/3 Wheelers
BAJAJCON,IND::Personal Products,Personal Products,Personal Products,primary,1,1.0,,,,Consumer Defensive,Personal Products,IND::Personal Products
BAJAJELEC,IND::Household Appliances,Household Appliances,Household Appliances,primary,1,1.0,,,,Consumer Cyclical,Household Appliances,IND::Household Appliances
BAJAJFINSV,IND::Holding Companies,Holding Companies,Holding Companies,primary,1,1.0,,,,Financial Services,Holding Companies,IND::Holding Companies
BAJAJFINSV,IND::Finance (including NBFCs)::B::B,Finance (including Nbfcs) · Group 2,Finance (including Nbfcs),secondary,2,0.4115,0.6221,0.08,50.0,Financial Services,Holding Companies,IND::Holding Companies
BAJAJFINSV,IND::Life Insurance,Life Insurance,Life Insurance,secondary,3,0.3154,0.4784,0.065,50.0,Financial Services,Holding Companies,IND::Holding Companies
BAJAJHFL,UNCLASSIFIED::A::B,Cross-sector · Group 4,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::A::B
BAJAJHLDNG,IND::Holding Companies,Holding Companies,Holding Companies,primary,1,1.0,,,,Financial Services,Holding Companies,IND::Holding Companies
BAJEL,IND::Heavy Electrical Equipment::A,Heavy Electrical Equipment · Group 1,Heavy Electrical Equipment,primary,1,1.0,,,,Utilities,Heavy Electrical Equipment,IND::Heavy Electrical Equipment::A
BAJFINANCE,IND::Finance (including NBFCs)::B::B,Finance (including Nbfcs) · Group 2,Finance (including Nbfcs),primary,1,1.0,,,,Financial Services,Finance (including NBFCs),IND::Finance (including NBFCs)::B::B
BAJFINANCE,IND::Banks::A,Banks · Group 2,Banks,secondary,2,0.2932,0.4659,0.11,50.0,Financial Services,Finance (including NBFCs),IND::Finance (including NBFCs)::B::B
BAJFINANCE,IND::Banks::B::B,Banks · Group 1,Banks,secondary,3,0.2263,0.3929,0.1625,50.0,Financial Services,Finance (including NBFCs),IND::Finance (including NBFCs)::B::B
BALKRISIND,IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,primary,1,1.0,,,,Consumer Cyclical,Auto Tyres & Rubber Products,IND::Auto Tyres & Rubber Products
BALKRISIND,IND::Consumer Electronics,Consumer Electronics,Consumer Electronics,secondary,2,0.2349,0.4181,0.1925,50.0,Consumer Cyclical,Auto Tyres & Rubber Products,IND::Auto Tyres & Rubber Products
BALKRISIND,IND::Restaurants,Restaurants,Restaurants,secondary,3,0.1607,0.3067,0.18,50.0,Consumer Cyclical,Auto Tyres & Rubber Products,IND::Auto Tyres & Rubber Products
BALRAMCHIN,IND::Breweries & Distilleries,Breweries & Distilleries,Breweries & Distilleries,primary,1,1.0,,,,Consumer Defensive,Sugar,IND::Breweries & Distilleries
BANDHANBNK,IND::Banks::B::A,Banks · Group 3,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::B::A
BANKBARODA,IND::Banks::B::B,Banks · Group 1,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::B::B
BANKBARODA,IND::Banks::A,Banks · Group 2,Banks,secondary,2,0.1798,0.3094,0.1225,50.0,Financial Services,Banks,IND::Banks::B::B
BANKBARODA,IND::Housing Finance,Housing Finance,Housing Finance,secondary,3,0.1759,0.3263,0.175,50.0,Financial Services,Banks,IND::Banks::B::B
BANKINDIA,IND::Banks::B::B,Banks · Group 1,Banks,primary,1,1.0,,,,Financial Services,Banks,IND::Banks::B::B
BANKINDIA,IND::Banks::A,Banks · Group 2,Banks,secondary,2,0.2253,0.3755,0.125,50.0,Financial Services,Banks,IND::Banks::B::B
BANSALWIRE,IND::Heavy Electrical Equipment::B,Heavy Electrical Equipment · Group 2,Heavy Electrical Equipment,primary,1,1.0,,,,,,IND::Heavy Electrical Equipment::B
BASF,IND::Specialty Chemicals::A,Specialty Chemicals · Group 1,Specialty Chemicals,primary,1,1.0,,,,Basic Materials,Specialty Chemicals,IND::Specialty Chemicals::A
BATAINDIA,IND::Footwear,Footwear,Footwear,primary,1,1.0,,,,Consumer Cyclical,Footwear,IND::Footwear
BAYERCROP,IND::Agrochemicals,Agrochemicals,Agrochemicals,primary,1,1.0,,,,Basic Materials,Agrochemicals,IND::Agrochemicals
BAYERCROP,IND::Specialty Chemicals::B,Specialty Chemicals · Group 2,Specialty Chemicals,secondary,2,0.2355,0.3965,0.14,50.0,Basic Materials,Agrochemicals,IND::Agrochemicals
BBL,IND::Other Electrical Equipment/Products::B,Other Electrical Equipment / Products · Group 1,Other Electrical Equipment / Products,primary,1,1.0,,,,Industrials,Other Electrical Equipment/Products,IND::Other Electrical Equipment/Products::B
BBL,IND::Defence,Defence,Defence,secondary,2,0.2358,0.4129,0.1775,46.0,Industrials,Other Electrical Equipment/Products,IND::Other Electrical Equipment/Products::B
BBL,IND::Heavy Electrical Equipment::B,Heavy Electrical Equipment · Group 2,Heavy Electrical Equipment,secondary,3,0.1826,0.3208,0.14,46.0,Industrials,Other Electrical Equipment/Products,IND::Other Electrical Equipment/Products::B
BBOX,UNCLASSIFIED::B::A::B,Cross-sector · Group 1,Cross-sector,primary,1,1.0,,,,,,UNCLASSIFIED::B::A::B
BBOX,UNCLASSIFIED::B::B::A::A::A,Cross-sector · Group 8,Cross-sector,secondary,2,0.2916,0.4894,0.17,23.0,,,UNCLASSIFIED::B::A::B
BBOX,UNCLASSIFIED::B::B::B::A,Cross-sector · Group 6,Cross-sector,secondary,3,0.2625,0.4351,0.14,23.0,,,UNCLASSIFIED::B::A::B
BDL,IND::Defence,Defence,Defence,primary,1,1.0,,,,Industrials,Defence,IND::Defence
BDL,IND::Shipping,Shipping,Shipping,secondary,2,0.3776,0.5845,0.105,50.0,Industrials,Defence,IND::Defence
BDL,IND::Industrial Machinery::B,Industrial Machinery · Group 2,Industrial Machinery,secondary,3,0.2624,0.4434,0.16,50.0,Industrials,Defence,IND::Defence
BECTORFOOD,IND::Packaged Foods,Packaged Foods,Packaged Foods,primary,1,1.0,,,,Consumer Defensive,Packaged Foods,IND::Packaged Foods
BEL,IND::Defence,Defence,Defence,primary,1,1.0,,,,Industrials,Defence,IND::Defence
BEL,IND::Shipping,Shipping,Shipping,secondary,2,0.3263,0.5465,0.1875,50.0,Industrials,Defence,IND::Defence
BELRISE,IND::Other Financial Services,Other Financial Services,Other Financial Services,primary,1,1.0,,,,,,IND::Other Financial Services
BEML,IND::Commercial Vehicles,Commercial Vehicles,Commercial Vehicles,primary,1,1.0,,,,Industrials,Commercial Vehicles,IND::Commercial Vehicles
BEML,IND::Shipping,Shipping,Shipping,secondary,2,0.3393,0.5437,0.1375,50.0,Industrials,Commercial Vehicles,IND::Commercial Vehicles
BEML,IND::Heavy Electrical Equipment::A,Heavy Electrical Equipment · Group 1,Heavy Electrical Equipment,secondary,3,0.3013,0.4968,0.155,50.0,Industrials,Commercial Vehicles,IND::Commercial Vehicles
BERGEPAINT,IND::Furniture-Furnishing-Paints,Furniture-furnishing-paints,Furniture-furnishing-paints,primary,1,1.0,,,,Basic Materials,Furniture-Furnishing-Paints,IND::Furniture-Furnishing-Paints
BERGEPAINT,IND::Specialty Chemicals::A,Specialty Chemicals · Group 1,Specialty Chemicals,secondary,2,0.1576,0.3098,0.1975,50.0,Basic Materials,Furniture-Furnishing-Paints,IND::Furniture-Furnishing-Paints
