theme_id,theme_label,theme_family,primary_size,total_size,secondary_additions,cohesion_primary,cohesion_with_secondary,dominant_sector,dominant_industry,sample_symbols
UNCLASSIFIED::B::B::B::A,Cross-Sector · Group 6,Cross-Sector,9,9,0,0.2569,0.2569,,,"AKUMS, BHARTIHEXA, COHANCE, EUREKAFORB, HEXT, INDGN, JUNIPER, SANATHAN"
UNCLASSIFIED::B::B::B::B,Cross-Sector · Group 7,Cross-Sector,9,9,0,0.1701,0.1701,,,"ACMESOLAR, AJAXENGG, ALIVUS, JSWHL, NIVABUPA, SHARDAMOTR, SUNDRMFAST, TARC"
UNCLASSIFIED::B::B::A::A::A,Cross-Sector · Group 8,Cross-Sector,8,9,1,0.0619,0.0774,,,"AEGISVOPAK, ATHERENERG, CEMPRO, IGIL, IKS, LAXMIDENTL, OSWALPUMPS, SKIPPER"
IND::Finance (including NBFCs)::B::A,Finance (including Nbfcs) · Group 1,Finance (including Nbfcs),8,9,1,0.1368,0.1838,Financial Services,Finance (including NBFCs),"CHOLAFIN, M&MFIN, MUTHOOTFIN, PFC, POONAWALLA, RECLTD, SBFC, SHRIRAMFIN"
IND::Healthcare Services,Healthcare Services,Healthcare Services,9,9,0,0.1765,0.1765,Healthcare,Healthcare Services,"ETERNAL, KOVAI, KRSNAA, LALPATHLAB, MEDIASSIST, METROPOLIS, SWIGGY, THYROCARE"
IND::IT Consulting & Software::B::B::A::A,IT Consulting & Software · Group 2,IT Consulting & Software,9,9,0,0.3311,0.3311,Technology,IT Consulting & Software,"BSOFT, CYIENT, INFY, KPITTECH, SONATSOFTW, TATAELXSI, TCS, TECHM"
IND::Industrial Machinery::B,Industrial Machinery · Group 2,Industrial Machinery,9,9,0,0.0629,0.0629,Industrials,Industrial Machinery,"AZAD, CUMMINSIND, ELECON, INGERRAND, JYOTICNC, KIRLPNU, KSB, PRAJIND"
IND::Iron & Steel Products,Iron & Steel Products,Iron & Steel Products,9,9,0,0.0461,0.0461,Basic Materials,Iron & Steel Products,"APLAPOLLO, HITECH, LINDEINDIA, MIDHANI, SURYAROSNI, TIIL, USHAMART, VENUSPIPES"
IND::Other Industrial Goods,Other Industrial Goods,Other Industrial Goods,9,9,0,0.11,0.11,Industrials,Other Industrial Goods,"AIAENG, ESABINDIA, GRAPHITE, HEG, RHIM, SBCL, SKFINDIA, TCI"
IND::Packaged Foods,Packaged Foods,Packaged Foods,9,9,0,0.1049,0.1049,Consumer Defensive,Packaged Foods,"BECTORFOOD, BIKAJI, BRITANNIA, DODLA, HATSUN, HERITGFOOD, NESTLEIND, TATACONSUM"
IND::Commodity Chemicals,Commodity Chemicals,Commodity Chemicals,8,8,0,0.1481,0.1481,Basic Materials,Commodity Chemicals,"ACI, DEEPAKFERT, DEEPAKNTR, GHCL, INDIAGLYCO, NAVINFLUOR, TATACHEM, TIRUMALCHM"
IND::Defence,Defence,Defence,8,8,0,0.3124,0.3124,Industrials,Defence,"ASTRAMICRO, BDL, BEL, CONCOR, DATAPATTNS, HAL, MTARTECH, ZENTEC"
IND::Finance (including NBFCs)::B::B,Finance (including Nbfcs) · Group 2,Finance (including Nbfcs),8,8,0,0.2809,0.2809,Financial Services,Finance (including NBFCs),"BAJFINANCE, CHOLAFIN, CREDITACC, FIVESTAR, FUSION, MANAPPURAM, SBICARD, SUNDARMFIN"
IND::Forest Products,Forest Products,Forest Products,8,8,0,0.178,0.178,Basic Materials,Forest Products,"CENTURYPLY, DREDGECORP, GREENPANEL, GREENPLY, IXIGO, KMEW, STYLAMIND, TBOTEK"
IND::Heavy Electrical Equipment::A,Heavy Electrical Equipment · Group 1,Heavy Electrical Equipment,8,8,0,0.0864,0.0864,Industrials,Heavy Electrical Equipment,"ABB, BAJEL, BHEL, CGPOWER, KIRLOSENG, POWERINDIA, SIEMENS, TDPOWERSYS"
IND::Heavy Electrical Equipment::B,Heavy Electrical Equipment · Group 2,Heavy Electrical Equipment,8,8,0,0.1405,0.1405,Industrials,Heavy Electrical Equipment,"AVALON, BANSALWIRE, KEC, SCHNEIDER, SUZLON, THERMAX, TRITURBINE, VOLTAMP"
IND::Specialty Retail,Specialty Retail,Specialty Retail,8,8,0,-0.0129,-0.0129,Consumer Cyclical,Specialty Retail,"AVL, BHARTIARTL, ETHOSLTD, LANDMARK, MANYAVAR, PVRINOX, RAILTEL, SAREGAMA"
IND::Textiles,Textiles,Textiles,8,8,0,0.1488,0.1488,Consumer Cyclical,Textiles,"ARVIND, GARFIBRES, GOKEX, ICIL, KPRMILL, MAYURUNIQ, NITINSPIN, VTL"
IND::IT Software Products,IT Software Products,IT Software Products,7,7,0,0.0202,0.0202,Technology,IT Software Products,"CENTUM, CYIENTDLM, INTELLECT, OPTIEMUS, RATEGAIN, TATATECH, ZAGGLE"
IND::Oil Marketing & Distribution,Oil Marketing & Distribution,Oil Marketing & Distribution,7,7,0,0.2562,0.2562,Energy,Oil Marketing & Distribution,"AEGISLOG, CASTROLIND, GULFOILLUB, IOC, OIL, ONGC, PETRONET"
IND::Other Apparels & Accessories,Other Apparels & Accessories,Other Apparels & Accessories,7,7,0,0.0931,0.0931,Consumer Cyclical,Other Apparels & Accessories,"ARVINDFASN, GOCOLORS, KKCL, PAGEIND, SAFARI, SPAL, VIPIND"
IND::Plastic Products,Plastic Products,Plastic Products,7,7,0,0.046,0.046,Industrials,Plastic Products,"ASTRAL, FINPIPE, NILKAMAL, PRINCEPIPE, SHAILY, SUPREMEIND, TIMETECHNO"
IND::Refineries/Petro-Products,Refineries / Petro-Products,Refineries / Petro-Products,7,7,0,0.2299,0.2299,Energy,Refineries/Petro-Products,"BPCL, CHENNPETRO, COALINDIA, GMDCLTD, HINDPETRO, MRPL, RELIANCE"
IND::Utilities:Non-Electrical,Utilities:non-Electrical,Utilities:non-Electrical,7,7,0,0.0668,0.0668,Utilities,Utilities:Non-Electrical,"GAIL, GSPL, GUJGASLTD, IGL, IONEXCHANG, MGL, WABAG"
IND::Asset Management Cos.,Asset Management Cos.,Asset Management Cos.,6,6,0,0.4033,0.4033,Financial Services,Asset Management Cos.,"ABSLAMC, GVT&D, HDFCAMC, NAM-INDIA, TARIL, UTIAMC"
UNCLASSIFIED::B::B::A::B::A,Cross-Sector · Group 9,Cross-Sector,6,6,0,0.3348,0.3348,,,"BLACKBUCK, DAMCAPITAL, EMCURE, FILATEX, NTPCGREEN, SAMBHV"
IND::Department Stores,Department Stores,Department Stores,6,6,0,0.0846,0.0846,Consumer Cyclical,Department Stores,"ABFRL, DMART, SHOPERSTOP, TRENT, V2RETAIL, VMART"
IND::Finance (including NBFCs)::A,Finance (including Nbfcs) · Group 3,Finance (including Nbfcs),6,6,0,0.1318,0.1318,Financial Services,Finance (including NBFCs),"CGCL, FEDFINA, IRFC, JIOFIN, MASFIN, PFS"
IND::General Insurance,General Insurance,General Insurance,6,6,0,0.1022,0.1022,Financial Services,General Insurance,"AWFIS, ENTERO, GICRE, ICICIGI, PGIL, STARHEALTH"
IND::Holding Companies,Holding Companies,Holding Companies,6,6,0,0.0311,0.0311,Financial Services,Holding Companies,"ABCAPITAL, BAJAJFINSV, BAJAJHLDNG, CHOLAHLDNG, JMFINANCIL, RANEHOLDIN"
IND::Hotels,Hotels,Hotels,6,6,0,0.2898,0.2898,Consumer Cyclical,Hotels,"CHALET, EIHOTEL, INDHOTEL, LEMONTREE, MHRIL, SAMHI"
IND::Household Appliances,Household Appliances,Household Appliances,6,6,0,-0.0166,-0.0166,Consumer Cyclical,Household Appliances,"BAJAJELEC, CARTRADE, CARYSIL, CROMPTON, IFBIND, NYKAA"
IND::Other Electrical Equipment/Products::A,Other Electrical Equipment / Products · Group 2,Other Electrical Equipment / Products,5,6,1,0.1824,0.1915,Industrials,Other Electrical Equipment/Products,"APARINDS, INDIGO, KEI, RRKABEL, UNIVCABLES, WAAREEENER"
IND::Pharmaceuticals::B::A::A,Pharmaceuticals · Group 4,Pharmaceuticals,6,6,0,0.2007,0.2007,Healthcare,Pharmaceuticals,"APLLTD, CAPLIPOINT, CIPLA, NATCOPHARM, SPARC, WINDLAS"
IND::Specialty Chemicals::B,Specialty Chemicals · Group 2,Specialty Chemicals,6,6,0,0.087,0.087,Basic Materials,Specialty Chemicals,"CHEMPLASTS, DCMSHRIRAM, FINEORG, GALAXYSURF, NEOGEN, TATVA"
IND::Aluminium and Aluminium Products,Aluminium and Aluminium Products,Aluminium and Aluminium Products,5,5,0,0.4025,0.4025,Basic Materials,Aluminium and Aluminium Products,"HINDALCO, HINDCOPPER, HINDZINC, NATIONALUM, VEDL"
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,5,5,0,0.1866,0.1866,Consumer Cyclical,Auto Tyres & Rubber Products,"APOLLOTYRE, BALKRISIND, CEATLTD, JKTYRE, MRF"
IND::Banks::B::A,Banks · Group 3,Banks,4,5,1,0.3996,0.3977,Financial Services,Banks,"AXISBANK, BANDHANBNK, IDFCFIRSTB, KARURVYSYA, UJJIVANSFB"
IND::Cigarettes-Tobacco Products,Cigarettes-Tobacco Products,Cigarettes-Tobacco Products,5,5,0,0.4722,0.4722,Consumer Defensive,Cigarettes-Tobacco Products,"GODFRYPHLP, ITC, ONESOURCE, VMM, VSTIND"
IND::Commercial Vehicles,Commercial Vehicles,Commercial Vehicles,5,5,0,0.1672,0.1672,Industrials,Commercial Vehicles,"ASHOKLEY, BEML, ESCORTS, TITAGARH, VSTTILLERS"
IND::Houseware,Houseware,Houseware,5,5,0,0.1755,0.1755,Consumer Cyclical,Houseware,"BORORENEW, LAOPALA, PNGJL, STOVEKRAFT, TTKPRESTIG"
IND::Life Insurance,Life Insurance,Life Insurance,5,5,0,0.3529,0.3529,Financial Services,Life Insurance,"HDFCLIFE, ICICIPRULI, LICI, MFSL, SBILIFE"
IND::Restaurants,Restaurants,Restaurants,5,5,0,0.3539,0.3539,Consumer Cyclical,Restaurants,"DEVYANI, JUBLFOOD, RBA, SAPPHIRE, WESTLIFE"
IND::Transportation - Logistics,Transportation - Logistics,Transportation - Logistics,5,5,0,0.0761,0.0761,Industrials,Transportation - Logistics,"BLUEDART, DELHIVERY, GATEWAY, MAHLOG, VRLLOG"
IND::2/3 Wheelers,2 / 3 Wheelers,2 / 3 Wheelers,4,4,0,0.4637,0.4637,Consumer Cyclical,2/3 Wheelers,"BAJAJ-AUTO, EICHERMOT, HEROMOTOCO, TVSMOTOR"
THEME::Cdmo,CDMO,CDMO,4,4,0,0.4521,0.4521,,,"ACUTAAS, GODIGIT, SAILIFE, SENORES"
UNCLASSIFIED::B::A::A,Cross-Sector · Group 10,Cross-Sector,4,4,0,0.2975,0.2975,,,"HYUNDAI, SANOFICONR, STLTECH, UNIMECH"
IND::Electric Utilities::B,Electric Utilities · Group 2,Electric Utilities,4,4,0,0.1557,0.1557,Industrials,Electric Utilities,"INOXGREEN, INOXWIND, KPIL, TECHNOE"
IND::Footwear,Footwear,Footwear,4,4,0,0.151,0.151,Consumer Cyclical,Footwear,"BATAINDIA, CAMPUS, METROBRAND, REDTAPE"
IND::Gems & Jewellery,Gems & Jewellery,Gems & Jewellery,4,4,0,0.1692,0.1692,Consumer Cyclical,Gems & Jewellery,"KALYANKJIL, SENCO, THANGAMAYL, TITAN"
IND::IT Consulting & Software::B::B::B,IT Consulting & Software · Group 3,IT Consulting & Software,4,4,0,0.1996,0.1996,Technology,IT Consulting & Software,"ECLERX, NETWEB, NEWGEN, OFSS"
IND::Mining,Mining,Mining,4,4,0,0.2854,0.2854,Basic Materials,Mining,"MOIL, NMDC, SANDUMA, TEGA"
IND::Pharmaceuticals::A,Pharmaceuticals · Group 5,Pharmaceuticals,4,4,0,0.1367,0.1367,Healthcare,Pharmaceuticals,"AMRUTANJAN, NEULANDLAB, PGHL, SUPRIYA"
IND::Roads & Highways,Roads & Highways,Roads & Highways,4,4,0,0.0955,0.0955,Industrials,Roads & Highways,"ASHOKA, GRINFRA, IRB, PNCINFRA"
IND::Shipping,Shipping,Shipping,4,4,0,0.3125,0.3125,Industrials,Shipping,"ENGINERSIN, GESHIP, GRSE, MAZDOCK"
IND::Auto Parts & Equipment::A,Auto Parts & Equipment · Group 4,Auto Parts & Equipment,3,3,0,0.1523,0.1523,Industrials,Auto Parts & Equipment,"GREAVESCOT, SANDHAR, SUNCLAY"
IND::Biotechnology,Biotechnology,Biotechnology,3,3,0,0.033,0.033,Healthcare,Biotechnology,"ADVENZYMES, BIOCON, CONCORDBIO"
IND::Cars & Utility Vehicles,Cars & Utility Vehicles,Cars & Utility Vehicles,3,3,0,0.3614,0.3614,Consumer Cyclical,Cars & Utility Vehicles,"FORCEMOT, M&M, MARUTI"
IND::Containers & Packaging,Containers & Packaging,Containers & Packaging,3,3,0,-0.0185,-0.0185,Consumer Cyclical,Containers & Packaging,"EPL, GRWRHITECH, MOLDTKPAC"
UNCLASSIFIED::NoRank,Cross-Sector (no Rank) · Group 4,Cross-Sector (no Rank),3,3,0,,,,,"BLUESTONE, PIRAMALFIN, VIKRAMSOLR"
IND::Exchange,Exchange,Exchange,3,3,0,0.0996,0.0996,Financial Services,Exchange,"BSE, IEX, MCX"
IND::Fertilizers,Fertilizers,Fertilizers,3,3,0,0.0967,0.0967,Basic Materials,Fertilizers,"CHAMBLFERT, COROMANDEL, PARADEEP"
IND::IT Consulting & Software::A,IT Consulting & Software · Group 4,IT Consulting & Software,3,3,0,0.3025,0.3025,Technology,Capital Markets,"CAMS, FSL, RAMCOSYS"
IND::IT Consulting & Software::B::A,IT Consulting & Software · Group 5,IT Consulting & Software,3,3,0,0.2846,0.2846,Technology,Commodity Trading & Distribution,"ADANIENT, HAPPSTMNDS, REDINGTON"
IND::Marine Port & Services,Marine Port & Services,Marine Port & Services,3,3,0,0.2623,0.2623,Industrials,Marine Port & Services,"ADANIPORTS, GPPL, JSWINFRA"
IND::Other Food Products,Other Food Products,Other Food Products,3,3,0,-0.0106,-0.0106,Consumer Defensive,Other Food Products,"AVANTIFEED, EIDPARRY, MANORAMA"
IND::Paper & Paper Products,Paper & Paper Products,Paper & Paper Products,3,3,0,0.0871,0.0871,Basic Materials,Paper & Paper Products,"JKPAPER, TCPLPACK, WSTCSTPAPR"
IND::Realty::A,Realty · Group 2,Realty,3,3,0,0.0699,0.0699,Real Estate,Realty,"ARVSMART, MAHLIFE, NESCO"
IND::Travel Support Services,Travel Support Services,Travel Support Services,3,3,0,0.0629,0.0629,Consumer Cyclical,Travel Support Services,"IRCTC, THOMASCOOK, YATRA"
