Symbol,Theme
SCHAEFFLER,Auto Parts & Equipment - Group 3
SUBROS,Auto Parts & Equipment - Group 3
UNOMINDA,Auto Parts & Equipment - Group 3
GREAVESCOT,Auto Parts & Equipment - Group 4
SANDHAR,Auto Parts & Equipment - Group 4
SUNCLAY,Auto Parts & Equipment - Group 4
APOLLOTYRE,Auto Tyres & Rubber Products
BALKRISIND,Auto Tyres & Rubber Products
CEATLTD,Auto Tyres & Rubber Products
JKTYRE,Auto Tyres & Rubber Products
MRF,Auto Tyres & Rubber Products
BANKBARODA,Banks - Group 1
BANKINDIA,Banks - Group 1
CANBK,Banks - Group 1
CUB,Banks - Group 1
IDBI,Banks - Group 1
INDIANB,Banks - Group 1
J&KBANK,Banks - Group 1
MAHABANK,Banks - Group 1
PNB,Banks - Group 1
SBIN,Banks - Group 1
SOUTHBANK,Banks - Group 1
UNIONBANK,Banks - Group 1
YESBANK,Banks - Group 1
AUBANK,Banks - Group 2
CSBBANK,Banks - Group 2
DCBBANK,Banks - Group 2
EQUITASBNK,Banks - Group 2
FEDERALBNK,Banks - Group 2
HDFCBANK,Banks - Group 2
ICICIBANK,Banks - Group 2
IDFCFIRSTB,Banks - Group 2
INDUSINDBK,Banks - Group 2
KOTAKBANK,Banks - Group 2
KTKBANK,Banks - Group 2
RBLBANK,Banks - Group 2
AXISBANK,Banks - Group 3
BANDHANBNK,Banks - Group 3
KARURVYSYA,Banks - Group 3
UJJIVANSFB,Banks - Group 3
ADVENZYMES,Biotechnology
BIOCON,Biotechnology
CONCORDBIO,Biotechnology
ABDL,Breweries & Distilleries
BALRAMCHIN,Breweries & Distilleries
CCL,Breweries & Distilleries
GLOBUSSPR,Breweries & Distilleries
GODREJAGRO,Breweries & Distilleries
LTFOODS,Breweries & Distilleries
NIITMTS,Breweries & Distilleries
RADICO,Breweries & Distilleries
SULA,Breweries & Distilleries
TI,Breweries & Distilleries
TRIVENI,Breweries & Distilleries
UBL,Breweries & Distilleries
UNITDSPR,Breweries & Distilleries
VBL,Breweries & Distilleries
ACUTAAS,CDMO
ONESOURCE,CDMO
SAILIFE,CDMO
SENORES,CDMO
CDSL,Capital Market Infrastructure
FORCEMOT,Cars & Utility Vehicles
M&M,Cars & Utility Vehicles
MARUTI,Cars & Utility Vehicles
ACC,Cement & Cement Products
AMBUJACEM,Cement & Cement Products
BIRLACORPN,Cement & Cement Products
DALBHARAT,Cement & Cement Products
GRASIM,Cement & Cement Products
INDIACEM,Cement & Cement Products
JKCEMENT,Cement & Cement Products
JKLAKSHMI,Cement & Cement Products
NUVOCO,Cement & Cement Products
RAMCOCEM,Cement & Cement Products
SHREECEM,Cement & Cement Products
STARCEMENT,Cement & Cement Products
ULTRACEMCO,Cement & Cement Products
GODFRYPHLP,Cigarettes-Tobacco Products
ITC,Cigarettes-Tobacco Products
VMM,Cigarettes-Tobacco Products
VSTIND,Cigarettes-Tobacco Products
ASHOKLEY,Commercial Vehicles
BEML,Commercial Vehicles
ESCORTS,Commercial Vehicles
VSTTILLERS,Commercial Vehicles
ACI,Commodity Chemicals
DEEPAKFERT,Commodity Chemicals
DEEPAKNTR,Commodity Chemicals
GHCL,Commodity Chemicals
INDIAGLYCO,Commodity Chemicals
NAVINFLUOR,Commodity Chemicals
TATACHEM,Commodity Chemicals
TIRUMALCHM,Commodity Chemicals
AHLUCONT,Construction & Engineering
HGINFRA,Construction & Engineering
KNRCON,Construction & Engineering
LT,Construction & Engineering
NBCC,Construction & Engineering
NCC,Construction & Engineering
POWERMECH,Construction & Engineering
PSPPROJECT,Construction & Engineering
TEXRAIL,Construction & Engineering
AMBER,Consumer Electronics
BLUESTARCO,Consumer Electronics
DIXON,Consumer Electronics
EMIL,Consumer Electronics
MAHSCOOTER,Consumer Electronics
ORIENTELEC,Consumer Electronics
PGEL,Consumer Electronics
SAGILITY,Consumer Electronics
SYMPHONY,Consumer Electronics
VOLTAS,Consumer Electronics
WHIRLPOOL,Consumer Electronics
EPL,Containers & Packaging
GRWRHITECH,Containers & Packaging
MOLDTKPAC,Containers & Packaging
AEQUS,Cross-Sector (no Rank) - Group 1
BHARATCOAL,Cross-Sector (no Rank) - Group 1
CAPILLARY,Cross-Sector (no Rank) - Group 1
CRAMC,Cross-Sector (no Rank) - Group 1
EUROPRATIK,Cross-Sector (no Rank) - Group 1
JAINREC,Cross-Sector (no Rank) - Group 1
LENSKART,Cross-Sector (no Rank) - Group 1
MBEL,Cross-Sector (no Rank) - Group 1
NEPHROPLUS,Cross-Sector (no Rank) - Group 1
PINELABS,Cross-Sector (no Rank) - Group 1
SAATVIKGL,Cross-Sector (no Rank) - Group 1
STYL,Cross-Sector (no Rank) - Group 1
TENNIND,Cross-Sector (no Rank) - Group 1
URBANCO,Cross-Sector (no Rank) - Group 1
AMAGI,Cross-Sector (no Rank) - Group 2
BUILDPRO,Cross-Sector (no Rank) - Group 2
CORONA,Cross-Sector (no Rank) - Group 2
EMMVEE,Cross-Sector (no Rank) - Group 2
GROWW,Cross-Sector (no Rank) - Group 2
JSWCEMENT,Cross-Sector (no Rank) - Group 2
LGEINDIA,Cross-Sector (no Rank) - Group 2
MEESHO,Cross-Sector (no Rank) - Group 2
ORKLAINDIA,Cross-Sector (no Rank) - Group 2
PWL,Cross-Sector (no Rank) - Group 2
SKFINDUS,Cross-Sector (no Rank) - Group 2
SUDEEPPHRM,Cross-Sector (no Rank) - Group 2
TMCV,Cross-Sector (no Rank) - Group 2
WAKEFIT,Cross-Sector (no Rank) - Group 2
ATLANTAELE,Cross-Sector (no Rank) - Group 3
CANHLIFE,Cross-Sector (no Rank) - Group 3
CPPLUS,Cross-Sector (no Rank) - Group 3
EPACKPEB,Cross-Sector (no Rank) - Group 3
ICICIAMC,Cross-Sector (no Rank) - Group 3
KSHINTL,Cross-Sector (no Rank) - Group 3
LOTUSDEV,Cross-Sector (no Rank) - Group 3
MIDWESTLTD,Cross-Sector (no Rank) - Group 3
PACEDIGITK,Cross-Sector (no Rank) - Group 3
RUBICON,Cross-Sector (no Rank) - Group 3
STUDDS,Cross-Sector (no Rank) - Group 3
TATACAP,Cross-Sector (no Rank) - Group 3
TRUALT,Cross-Sector (no Rank) - Group 3
WEWORK,Cross-Sector (no Rank) - Group 3
BLUESTONE,Cross-Sector (no Rank) - Group 4
PIRAMALFIN,Cross-Sector (no Rank) - Group 4
VIKRAMSOLR,Cross-Sector (no Rank) - Group 4
BBOX,Cross-Sector - Group 1
CARRARO,Cross-Sector - Group 1
CEIGALL,Cross-Sector - Group 1
DYNAMATECH,Cross-Sector - Group 1
E2E,Cross-Sector - Group 1
FIRSTCRY,Cross-Sector - Group 1
KINGFA,Cross-Sector - Group 1
OLAELEC,Cross-Sector - Group 1
RAYMONDLSL,Cross-Sector - Group 1
RPTECH,Cross-Sector - Group 1
SOTL,Cross-Sector - Group 1
SURAKSHA,Cross-Sector - Group 1
UNIECOM,Cross-Sector - Group 1
XPROINDIA,Cross-Sector - Group 1
HYUNDAI,Cross-Sector - Group 10
SANOFICONR,Cross-Sector - Group 10
STLTECH,Cross-Sector - Group 10
UNIMECH,Cross-Sector - Group 10
AFCONS,Cross-Sector - Group 2
AGARWALEYE,Cross-Sector - Group 2
AIIL,Cross-Sector - Group 2
ASHAPURMIN,Cross-Sector - Group 2
GALLANTT,Cross-Sector - Group 2
IKS,Cross-Sector - Group 2
KRN,Cross-Sector - Group 2
PENIND,Cross-Sector - Group 2
POCL,Cross-Sector - Group 2
QPOWER,Cross-Sector - Group 2
TRANSRAILL,Cross-Sector - Group 2
VINCOFE,Cross-Sector - Group 2
ZOTA,Cross-Sector - Group 2
ABLBL,Cross-Sector - Group 3
ANTHEM,Cross-Sector - Group 3
BRIGHOTEL,Cross-Sector - Group 3
CRIZAC,Cross-Sector - Group 3
EBGNG,Cross-Sector - Group 3
ELLEN,Cross-Sector - Group 3
ENRIN,Cross-Sector - Group 3
HDBFS,Cross-Sector - Group 3
INDIQUBE,Cross-Sector - Group 3
MARATHON,Cross-Sector - Group 3
RAYMONDREL,Cross-Sector - Group 3
SMARTWORKS,Cross-Sector - Group 3
AWL,Cross-Sector - Group 4
BAJAJHFL,Cross-Sector - Group 4
GMRAIRPORT,Cross-Sector - Group 4
MUTHOOTMF,Cross-Sector - Group 4
NORTHARC,Cross-Sector - Group 4
PATELENG,Cross-Sector - Group 4
PFOCUS,Cross-Sector - Group 4
SPICEJET,Cross-Sector - Group 4
THELEELA,Cross-Sector - Group 4
EPACK,Cross-Sector - Group 5
FOSECOIND,Cross-Sector - Group 5
IIFLCAPS,Cross-Sector - Group 5
INTERARCH,Cross-Sector - Group 5
ITCHOTELS,Cross-Sector - Group 5
KRBL,Cross-Sector - Group 5
SKYGOLD,Cross-Sector - Group 5
SMSPHARMA,Cross-Sector - Group 5
TMPV,Cross-Sector - Group 5
AKUMS,Cross-Sector - Group 6
BHARTIHEXA,Cross-Sector - Group 6
COHANCE,Cross-Sector - Group 6
EUREKAFORB,Cross-Sector - Group 6
HEXT,Cross-Sector - Group 6
INDGN,Cross-Sector - Group 6
JUNIPER,Cross-Sector - Group 6
SANATHAN,Cross-Sector - Group 6
SHAKTIPUMP,Cross-Sector - Group 6
ACMESOLAR,Cross-Sector - Group 7
AJAXENGG,Cross-Sector - Group 7
ALIVUS,Cross-Sector - Group 7
JSWHL,Cross-Sector - Group 7
NIVABUPA,Cross-Sector - Group 7
SHARDAMOTR,Cross-Sector - Group 7
SUNDRMFAST,Cross-Sector - Group 7
TARC,Cross-Sector - Group 7
TRAVELFOOD,Cross-Sector - Group 7
AEGISVOPAK,Cross-Sector - Group 8
ATHERENERG,Cross-Sector - Group 8
CEMPRO,Cross-Sector - Group 8
IGIL,Cross-Sector - Group 8
LAXMIDENTL,Cross-Sector - Group 8
OSWALPUMPS,Cross-Sector - Group 8
SKIPPER,Cross-Sector - Group 8
SWANCORP,Cross-Sector - Group 8
BLACKBUCK,Cross-Sector - Group 9
DAMCAPITAL,Cross-Sector - Group 9
EMCURE,Cross-Sector - Group 9
FILATEX,Cross-Sector - Group 9
NTPCGREEN,Cross-Sector - Group 9
SAMBHV,Cross-Sector - Group 9
ASTRAMICRO,Defence
BDL,Defence
BEL,Defence
CONCOR,Defence
DATAPATTNS,Defence
HAL,Defence
MTARTECH,Defence
ZENTEC,Defence
ABFRL,Department Stores
DMART,Department Stores
SHOPERSTOP,Department Stores
TRENT,Department Stores
V2RETAIL,Department Stores
VMART,Department Stores
ADANIENSOL,Electric Utilities - Group 1
ADANIGREEN,Electric Utilities - Group 1
ADANIPOWER,Electric Utilities - Group 1
CESC,Electric Utilities - Group 1
JSWENERGY,Electric Utilities - Group 1
NHPC,Electric Utilities - Group 1
NLCINDIA,Electric Utilities - Group 1
NTPC,Electric Utilities - Group 1
POWERGRID,Electric Utilities - Group 1
PTC,Electric Utilities - Group 1
TATAPOWER,Electric Utilities - Group 1
TORNTPOWER,Electric Utilities - Group 1
INOXGREEN,Electric Utilities - Group 2
INOXWIND,Electric Utilities - Group 2
KPIL,Electric Utilities - Group 2
TECHNOE,Electric Utilities - Group 2
BSE,Exchange
IEX,Exchange
MCX,Exchange
CHAMBLFERT,Fertilizers
COROMANDEL,Fertilizers
PARADEEP,Fertilizers
M&MFIN,Finance (including Nbfcs) - Group 1
MUTHOOTFIN,Finance (including Nbfcs) - Group 1
PFC,Finance (including Nbfcs) - Group 1
POONAWALLA,Finance (including Nbfcs) - Group 1
RECLTD,Finance (including Nbfcs) - Group 1
SBFC,Finance (including Nbfcs) - Group 1
SHRIRAMFIN,Finance (including Nbfcs) - Group 1
SPANDANA,Finance (including Nbfcs) - Group 1
BAJFINANCE,Finance (including Nbfcs) - Group 2
CHOLAFIN,Finance (including Nbfcs) - Group 2
CREDITACC,Finance (including Nbfcs) - Group 2
FIVESTAR,Finance (including Nbfcs) - Group 2
FUSION,Finance (including Nbfcs) - Group 2
MANAPPURAM,Finance (including Nbfcs) - Group 2
SBICARD,Finance (including Nbfcs) - Group 2
SUNDARMFIN,Finance (including Nbfcs) - Group 2
CGCL,Finance (including Nbfcs) - Group 3
FEDFINA,Finance (including Nbfcs) - Group 3
IRFC,Finance (including Nbfcs) - Group 3
JIOFIN,Finance (including Nbfcs) - Group 3
MASFIN,Finance (including Nbfcs) - Group 3
PFS,Finance (including Nbfcs) - Group 3
BATAINDIA,Footwear
CAMPUS,Footwear
METROBRAND,Footwear
REDTAPE,Footwear
CENTURYPLY,Forest Products
DREDGECORP,Forest Products
GREENPANEL,Forest Products
GREENPLY,Forest Products
IXIGO,Forest Products
KMEW,Forest Products
STYLAMIND,Forest Products
TBOTEK,Forest Products
AGI,Furniture-Furnishing-Paints
AKZOINDIA,Furniture-Furnishing-Paints
ASIANPAINT,Furniture-Furnishing-Paints
BERGEPAINT,Furniture-Furnishing-Paints
CERA,Furniture-Furnishing-Paints
GREENLAM,Furniture-Furnishing-Paints
INDIGOPNTS,Furniture-Furnishing-Paints
KAJARIACER,Furniture-Furnishing-Paints
KANSAINER,Furniture-Furnishing-Paints
SFL,Furniture-Furnishing-Paints
SOMANYCERA,Furniture-Furnishing-Paints
KALYANKJIL,Gems & Jewellery
SENCO,Gems & Jewellery
THANGAMAYL,Gems & Jewellery
TITAN,Gems & Jewellery
AWFIS,General Insurance
ENTERO,General Insurance
GICRE,General Insurance
GODIGIT,General Insurance
ICICIGI,General Insurance
PGIL,General Insurance
STARHEALTH,General Insurance
APOLLOHOSP,Healthcare Facilities
ARTEMISMED,Healthcare Facilities
ASTERDM,Healthcare Facilities
FORTIS,Healthcare Facilities
HCG,Healthcare Facilities
JLHL,Healthcare Facilities
KIMS,Healthcare Facilities
MAXHEALTH,Healthcare Facilities
MEDANTA,Healthcare Facilities
MEDPLUS,Healthcare Facilities
NH,Healthcare Facilities
POLYMED,Healthcare Facilities
RAINBOW,Healthcare Facilities
YATHARTH,Healthcare Facilities
ETERNAL,Healthcare Services
KOVAI,Healthcare Services
KRSNAA,Healthcare Services
LALPATHLAB,Healthcare Services
MEDIASSIST,Healthcare Services
METROPOLIS,Healthcare Services
SWIGGY,Healthcare Services
THYROCARE,Healthcare Services
VIJAYA,Healthcare Services
ABB,Heavy Electrical Equipment - Group 1
BAJEL,Heavy Electrical Equipment - Group 1
BHEL,Heavy Electrical Equipment - Group 1
CGPOWER,Heavy Electrical Equipment - Group 1
GVT&D,Heavy Electrical Equipment - Group 1
KIRLOSENG,Heavy Electrical Equipment - Group 1
POWERINDIA,Heavy Electrical Equipment - Group 1
SIEMENS,Heavy Electrical Equipment - Group 1
TARIL,Heavy Electrical Equipment - Group 1
TDPOWERSYS,Heavy Electrical Equipment - Group 1
AVALON,Heavy Electrical Equipment - Group 2
BANSALWIRE,Heavy Electrical Equipment - Group 2
KEC,Heavy Electrical Equipment - Group 2
SCHNEIDER,Heavy Electrical Equipment - Group 2
SUZLON,Heavy Electrical Equipment - Group 2
THERMAX,Heavy Electrical Equipment - Group 2
TRITURBINE,Heavy Electrical Equipment - Group 2
VOLTAMP,Heavy Electrical Equipment - Group 2
ABCAPITAL,Holding Companies
BAJAJFINSV,Holding Companies
BAJAJHLDNG,Holding Companies
CHOLAHLDNG,Holding Companies
JMFINANCIL,Holding Companies
RANEHOLDIN,Holding Companies
CHALET,Hotels
EIHOTEL,Hotels
INDHOTEL,Hotels
LEMONTREE,Hotels
MHRIL,Hotels
SAMHI,Hotels
BAJAJELEC,Household Appliances
CARTRADE,Household Appliances
CARYSIL,Household Appliances
CROMPTON,Household Appliances
IFBIND,Household Appliances
NYKAA,Household Appliances
BORORENEW,Houseware
LAOPALA,Houseware
PNGJL,Houseware
STOVEKRAFT,Houseware
TTKPRESTIG,Houseware
AAVAS,Housing Finance
APTUS,Housing Finance
CANFINHOME,Housing Finance
HOMEFIRST,Housing Finance
HUDCO,Housing Finance
INDIASHLTR,Housing Finance
LICHSGFIN,Housing Finance
LTF,Housing Finance
PNBHOUSING,Housing Finance
REPCOHOME,Housing Finance
ANGELONE,IT Consulting & Software - Group 1
CIGNITITEC,IT Consulting & Software - Group 1
COFORGE,IT Consulting & Software - Group 1
HCLTECH,IT Consulting & Software - Group 1
LTIM,IT Consulting & Software - Group 1
LTTS,IT Consulting & Software - Group 1
MASTEK,IT Consulting & Software - Group 1
MPHASIS,IT Consulting & Software - Group 1
PERSISTENT,IT Consulting & Software - Group 1
ZENSARTECH,IT Consulting & Software - Group 1
BSOFT,IT Consulting & Software - Group 2
CYIENT,IT Consulting & Software - Group 2
INFY,IT Consulting & Software - Group 2
KPITTECH,IT Consulting & Software - Group 2
SONATSOFTW,IT Consulting & Software - Group 2
TATAELXSI,IT Consulting & Software - Group 2
TCS,IT Consulting & Software - Group 2
TECHM,IT Consulting & Software - Group 2
WIPRO,IT Consulting & Software - Group 2
ECLERX,IT Consulting & Software - Group 3
NETWEB,IT Consulting & Software - Group 3
NEWGEN,IT Consulting & Software - Group 3
OFSS,IT Consulting & Software - Group 3
CAMS,IT Consulting & Software - Group 4
FSL,IT Consulting & Software - Group 4
RAMCOSYS,IT Consulting & Software - Group 4
ADANIENT,IT Consulting & Software - Group 5
HAPPSTMNDS,IT Consulting & Software - Group 5
REDINGTON,IT Consulting & Software - Group 5
CENTUM,IT Software Products
CYIENTDLM,IT Software Products
INTELLECT,IT Software Products
OPTIEMUS,IT Software Products
RATEGAIN,IT Software Products
TATATECH,IT Software Products
ZAGGLE,IT Software Products
3MINDIA,Industrial Machinery - Group 1
DOMS,Industrial Machinery - Group 1
FLAIR,Industrial Machinery - Group 1
GMMPFAUDLR,Industrial Machinery - Group 1
GODREJIND,Industrial Machinery - Group 1
ISGEC,Industrial Machinery - Group 1
KIRLOSBROS,Industrial Machinery - Group 1
SHRIPISTON,Industrial Machinery - Group 1
TEAMLEASE,Industrial Machinery - Group 1
WENDT,Industrial Machinery - Group 1
AZAD,Industrial Machinery - Group 2
CUMMINSIND,Industrial Machinery - Group 2
ELECON,Industrial Machinery - Group 2
INGERRAND,Industrial Machinery - Group 2
JYOTICNC,Industrial Machinery - Group 2
KIRLPNU,Industrial Machinery - Group 2
KSB,Industrial Machinery - Group 2
PRAJIND,Industrial Machinery - Group 2
SIS,Industrial Machinery - Group 2
AADHARHFC,Internet Software & Services
AFFLE,Internet Software & Services
INDIAMART,Internet Software & Services
INDUSTOWER,Internet Software & Services
JUSTDIAL,Internet Software & Services
MAPMYINDIA,Internet Software & Services
MPSLTD,Internet Software & Services
NAUKRI,Internet Software & Services
NAZARA,Internet Software & Services
PAYTM,Internet Software & Services
POLICYBZR,Internet Software & Services
ROUTE,Internet Software & Services
SUNTV,Internet Software & Services
TATACOMM,Internet Software & Services
ZEEL,Internet Software & Services
GPIL,Iron & Steel / Interm.products
IMFA,Iron & Steel / Interm.products
JINDALSTEL,Iron & Steel / Interm.products
JSL,Iron & Steel / Interm.products
JSWSTEEL,Iron & Steel / Interm.products
KIRLFER,Iron & Steel / Interm.products
KSL,Iron & Steel / Interm.products
MAHSEAMLES,Iron & Steel / Interm.products
NSLNISP,Iron & Steel / Interm.products
RATNAMANI,Iron & Steel / Interm.products
SAIL,Iron & Steel / Interm.products
SARDAEN,Iron & Steel / Interm.products
SHYAMMETL,Iron & Steel / Interm.products
TATASTEEL,Iron & Steel / Interm.products
APLAPOLLO,Iron & Steel Products
HITECH,Iron & Steel Products
LINDEINDIA,Iron & Steel Products
MIDHANI,Iron & Steel Products
SURYAROSNI,Iron & Steel Products
TIIL,Iron & Steel Products
USHAMART,Iron & Steel Products
VENUSPIPES,Iron & Steel Products
WELCORP,Iron & Steel Products
HDFCLIFE,Life Insurance
ICICIPRULI,Life Insurance
LICI,Life Insurance
MFSL,Life Insurance
SBILIFE,Life Insurance
ADANIPORTS,Marine Port & Services
GPPL,Marine Port & Services
JSWINFRA,Marine Port & Services
MOIL,Mining
NMDC,Mining
SANDUMA,Mining
TEGA,Mining
AEGISLOG,Oil Marketing & Distribution
CASTROLIND,Oil Marketing & Distribution
GULFOILLUB,Oil Marketing & Distribution
IOC,Oil Marketing & Distribution
OIL,Oil Marketing & Distribution
ONGC,Oil Marketing & Distribution
PETRONET,Oil Marketing & Distribution
ARVINDFASN,Other Apparels & Accessories
GOCOLORS,Other Apparels & Accessories
KKCL,Other Apparels & Accessories
PAGEIND,Other Apparels & Accessories
SAFARI,Other Apparels & Accessories
SPAL,Other Apparels & Accessories
VIPIND,Other Apparels & Accessories
BBL,Other Electrical Equipment / Products - Group 1
FINCABLES,Other Electrical Equipment / Products - Group 1
GRAVITA,Other Electrical Equipment / Products - Group 1
HAVELLS,Other Electrical Equipment / Products - Group 1
HONAUT,Other Electrical Equipment / Products - Group 1
KAYNES,Other Electrical Equipment / Products - Group 1
KEI,Other Electrical Equipment / Products - Group 1
PITTIENG,Other Electrical Equipment / Products - Group 1
POLYCAB,Other Electrical Equipment / Products - Group 1
PREMIERENE,Other Electrical Equipment / Products - Group 1
SYRMA,Other Electrical Equipment / Products - Group 1
VGUARD,Other Electrical Equipment / Products - Group 1
APARINDS,Other Electrical Equipment / Products - Group 2
INDIGO,Other Electrical Equipment / Products - Group 2
RRKABEL,Other Electrical Equipment / Products - Group 2
UNIVCABLES,Other Electrical Equipment / Products - Group 2
WAAREEENER,Other Electrical Equipment / Products - Group 2
360ONE,Other Financial Services
ANANDRATHI,Other Financial Services
BELRISE,Other Financial Services
CARERATING,Other Financial Services
CMSINFO,Other Financial Services
CRISIL,Other Financial Services
EDELWEISS,Other Financial Services
ICRA,Other Financial Services
IIFL,Other Financial Services
KFINTECH,Other Financial Services
MOTILALOFS,Other Financial Services
NUVAMA,Other Financial Services
PRUDENT,Other Financial Services
RELIGARE,Other Financial Services
AVANTIFEED,Other Food Products
EIDPARRY,Other Food Products
MANORAMA,Other Food Products
AIAENG,Other Industrial Goods
ESABINDIA,Other Industrial Goods
GRAPHITE,Other Industrial Goods
HEG,Other Industrial Goods
RHIM,Other Industrial Goods
SBCL,Other Industrial Goods
SKFINDIA,Other Industrial Goods
TCI,Other Industrial Goods
VESUVIUS,Other Industrial Goods
BHARATFORG,Other Industrial Products
CARBORUNIV,Other Industrial Products
GRINDWELL,Other Industrial Products
HAPPYFORGE,Other Industrial Products
INOXINDIA,Other Industrial Products
JINDALSAW,Other Industrial Products
KENNAMET,Other Industrial Products
MMFL,Other Industrial Products
PTCIL,Other Industrial Products
SOLARINDS,Other Industrial Products
TIMKEN,Other Industrial Products
TIPSMUSIC,Other Industrial Products
BECTORFOOD,Packaged Foods
BIKAJI,Packaged Foods
BRITANNIA,Packaged Foods
DODLA,Packaged Foods
HATSUN,Packaged Foods
HERITGFOOD,Packaged Foods
NESTLEIND,Packaged Foods
TATACONSUM,Packaged Foods
ZYDUSWELL,Packaged Foods
JKPAPER,Paper & Paper Products
TCPLPACK,Paper & Paper Products
WSTCSTPAPR,Paper & Paper Products
BAJAJCON,Personal Products
COLPAL,Personal Products
DABUR,Personal Products
EMAMILTD,Personal Products
GILLETTE,Personal Products
GODREJCP,Personal Products
HINDUNILVR,Personal Products
HONASA,Personal Products
JYOTHYLAB,Personal Products
MARICO,Personal Products
PGHH,Personal Products
SHK,Personal Products
VENTIVE,Personal Products
ABBOTINDIA,Pharmaceuticals - Group 1
ANUP,Pharmaceuticals - Group 1
ASTRAZEN,Pharmaceuticals - Group 1
GLAND,Pharmaceuticals - Group 1
GLAXO,Pharmaceuticals - Group 1
GUFICBIO,Pharmaceuticals - Group 1
IPCALAB,Pharmaceuticals - Group 1
JBCHEPHARM,Pharmaceuticals - Group 1
JUBLPHARMA,Pharmaceuticals - Group 1
MANKIND,Pharmaceuticals - Group 1
PPLPHARMA,Pharmaceuticals - Group 1
SANOFI,Pharmaceuticals - Group 1
SHILPAMED,Pharmaceuticals - Group 1
WOCKPHARMA,Pharmaceuticals - Group 1
AJANTPHARM,Pharmaceuticals - Group 2
ALKEM,Pharmaceuticals - Group 2
AUROPHARMA,Pharmaceuticals - Group 2
DRREDDY,Pharmaceuticals - Group 2
GLENMARK,Pharmaceuticals - Group 2
GRANULES,Pharmaceuticals - Group 2
LUPIN,Pharmaceuticals - Group 2
ORCHPHARMA,Pharmaceuticals - Group 2
PFIZER,Pharmaceuticals - Group 2
STAR,Pharmaceuticals - Group 2
SUNPHARMA,Pharmaceuticals - Group 2
TORNTPHARM,Pharmaceuticals - Group 2
ZYDUSLIFE,Pharmaceuticals - Group 2
AARTIDRUGS,Pharmaceuticals - Group 3
AARTIPHARM,Pharmaceuticals - Group 3
BLUEJET,Pharmaceuticals - Group 3
DIVISLAB,Pharmaceuticals - Group 3
ERIS,Pharmaceuticals - Group 3
FDC,Pharmaceuticals - Group 3
HIKAL,Pharmaceuticals - Group 3
LAURUSLABS,Pharmaceuticals - Group 3
MARKSANS,Pharmaceuticals - Group 3
SYNGENE,Pharmaceuticals - Group 3
APLLTD,Pharmaceuticals - Group 4
CAPLIPOINT,Pharmaceuticals - Group 4
CIPLA,Pharmaceuticals - Group 4
NATCOPHARM,Pharmaceuticals - Group 4
SPARC,Pharmaceuticals - Group 4
WINDLAS,Pharmaceuticals - Group 4
AMRUTANJAN,Pharmaceuticals - Group 5
NEULANDLAB,Pharmaceuticals - Group 5
PGHL,Pharmaceuticals - Group 5
SUPRIYA,Pharmaceuticals - Group 5
ASTRAL,Plastic Products
FINPIPE,Plastic Products
NILKAMAL,Plastic Products
